Product Id,Weight (kg),Length (m),Width (m),Height (m)
59787,0,0,0,0
59808,0.069,0.045,0.03,0.15
59829,0.072,0.05,0.035,0.11
59850,0.106,0.045,0.045,0.065
59871,0.157,0.045,0.045,0.215
59892,0.284,0.075,0.045,0.2
59913,0.288,0.075,0.035,0.185
59934,0,0,0,0
59955,0.18,0.052,0.052,0.185
59976,0,0,0,0
59997,0.138,0.05,0.05,0.155
60018,0,0,0,0
60039,0.162,0.055,0.055,0.145
60060,0.148,0.055,0.055,0.16
60081,0,0,0,0
60102,0.286,0.053,0.053,0.205
60123,0,0,0,0
60144,0,0,0,0
60165,5.0029,0.2794,0.381,0.0762
60186,5.009,0.381,0.3048,0.1016
60207,1.102,0.09,0.09,0.27
60228,0,0,0,0
60249,0.026,0.12,0.01,0.13
60270,0.03,0.01,0.12,0.13
60291,0.052,0.14,0.1,0.03
60312,1.48,ee,0.08,0.29
60333,0.35,0.09,0.09,0.1
60354,0,0,0,0
60375,0,0,0,0
60396,0.486,0.055,0.055,0.205
60417,0.17,0.07,0.07,0.21
60438,0,0,0,0
60459,0.145,0.065,0.065,0.04
60480,0,0,0,0
60501,0,0,0,0
60522,0.028,0.035,0.035,0.09
60543,0.05,0.04,0.04,0.095
60564,0.102,0.14,0.085,0.015
60585,0.135,0.1,0.1,0.17
60606,0,0,0,0
60627,0.0066,0.15,0.11,0.03
60648,0,0,0,0
60669,0.07,0.14,0.1,0.03
60690,0.086,0.15,0.1,0.03
60711,0.08,0.15,0.1,0.03
60732,0.142,0.095,0.07,0.045
60753,0,0,0,0
60774,0,0,0,0
60795,0.395,0.095,0.045,0.017
60816,0.23,0.052,0.03,0.175
60837,0,0,0,0
60858,0.282,0.08,0.04,0.165
60879,0.116,0.06,0.04,0.143
60900,0.112,0.06,0.035,0.155
60921,0,0,0,0
60942,0.23,0.075,0.035,0.1524
60963,0.054,0.075,0.045,0.025
60984,0.436,0.08,0.08,0.22
61005,0,0,0,0
61026,0,0,0,0
61047,0,0,0,0
61068,0,0,0,0
61089,0,0,0,0
61110,0,0,0,0
61131,0.2,0.03,0.07,0.18
61152,0.332,0.065,0.05,0.18
61173,0.045,0.135,0.055,0.035
61194,0.061,0.12,0.055,0.035
61215,0.06,0.12,0.055,0.035
61236,0,0,0,0
61257,0.278,0.055,0.055,0.205
61278,0.095,0.195,0.1,0.065
61299,0.138,0.095,0.065,0.04
61320,0.148,0.094,0.42,0.068
61341,0,0,0,0
61362,0,0,0,0
61383,0,0,0,0
61404,0,0,0,0
61425,0,0,0,0
61446,0,0,0,0
61467,0,0,0,0
61488,0.128,0.1,0.06,0.04
61509,0,0,0,0
61530,0.114,0.085,0.08,0.065
61551,0.1,0.125,0.065,0.05
61572,0,0,0,0
61593,0,0,0,0
61614,0.413,0.08,0.06,0.2105
61635,0,0,0,0
61656,0.204,0.02,0.08,0.195
61677,0.284,0.09,0.03,0.2
61698,0,0,0,0
61719,0,0,0,0
61740,0,0,0,0
61761,0,0,0,0
61782,0,0,0,0
61803,0,0,0,0
61824,0,0,0,0
61845,0,0,0,0
61866,0,0,0,0
61887,0,0,0,0
61908,0.426,0.07,0.05,0.213
61929,0,0,0,0
61950,0.113,0.17,0.12,0.04
61971,0.148,0.02,0.015,0.07
61992,0.47,0.075,0.045,0.235
62013,0,0,0,0
62034,0,0,0,0
62055,0,0,0,0
62076,0.228,0.065,0.045,0.115
62097,0.85,0.06,0.06,0.273
62118,0,0,0,0
62139,0,0,0,0
62160,0.45,0.15,0.11,0.19
62181,1.084,0.13,0.13,0.165
62202,2.088,0.19,0.19,0.25
62223,0,0,0,0
62244,0,0,0,0
62265,0,0,0,0
62286,0.6,0.2,0.19,0.12
62307,2.01,0.47,0.26,0.12
62328,1.089,0.43,0.22,0.12
62349,1.3,0.28,0.12,0.23
62370,1.1,ee,0.12,0.28
62391,0,0,0,0
62412,0,0,0,0
62433,0,0,0,0
62454,0,0,0,0
62475,0,0,0,0
